"CODE";"Al";"CO3";"Ca";"Cl";"EC.25";"EC.CALC";"EC.MEAS";"EC25.VELD";"Fe";"HCO3";"K";"Mg";"Mn";"NH4";"NH4_N";"NO2";"NO2_N";"NO3";"NO3_N";"NPOC";"N_anorg";"N_org";"Na";"O2.VELD";"OH";"Opmerking";"PO4";"PO4_P";"S";"SAL.VELD";"SAT.VELD";"SD.VELD";"SO4";"Si";"T.ANION";"T.KATION";"T.N";"T.P";"TEMP.VELD";"VERSCHIL.EC.ABS";"VERSCHIL.EC.PROC";"VERSCHIL.IC.ABS";"VERSCHIL.IC.PROC";"WD.VELD";"pH.25";"pH.VELD"
"LIER036X";0,12;0,6;10,36;12,27;134;135,12;134;135,5;0,98;28,71;7,73;3,09;0,05;0,05;0,0388198757763975;0,02;0,00608920688080378;0,14;0,0316255534471853;NA;0,417638819713314;NA;7,76;1,7;0,18;Inf;0,05;0,0163078930202218;4,94;0;18,1;Inf;13,01;0,82;1,1205;1,3634;NA;NA;5,6;0,02;0,01;0,235;7,6;0,88;6,49;6,343
"RAVR001X";0,48;0,6;8,3;9,32;112;111,08;112;113,5;0,39;13,32;3,99;2,35;0,1;0,05;0,0388198757763975;0,01;0,00304460344040189;3,22;0,727387729285263;NA;0,824969869754945;NA;5,4;5,33;0,18;Inf;0,05;0,0163078930202218;2,4;0;40,8;Inf;5,34;1,62;0,9509;1,113;NA;NA;3,9;0,92;0,82;0,162;7,9;0,95;5,8;5,63
"RAVR002X";0,05;0,6;13,75;13,69;167,9;167,56;167,9;170,8;0,94;18,89;8,59;3,13;0,11;0,05;0,0388198757763975;0,02;0,00608920688080378;0,42;0,094876660341556;NA;0,801093466363441;NA;7,89;5,17;0,18;Inf;0,05;0,0163078930202218;7,04;0;57,1;Inf;18,84;1,23;1,394;1,6325;NA;NA;5,8;0,34;0,2;0,21;3,4;0,15;6,19;5,867
"RAVR003X";1,82;0,6;3,85;8,19;67,2;70,57;67,2;67,9;2,76;2,5;1,71;0,93;0,19;0,05;0,0388198757763975;0,01;0,00304460344040189;0,15;0,0338845215505557;NA;0,1638487567988;NA;4,2;4,45;0,18;Inf;0,05;0,0163078930202218;1,39;0;40;Inf;1,36;3,79;0,2962;0,7927;NA;NA;5,3;3,37;5,01;0,497;45,6;0,44;4,48;4,35
"RAVR004X";1,02;0,6;4,5;11,75;90,5;94,54;90,5;90,8;2,99;2,5;2,88;1,45;0,14;0,2;0,15527950310559;0,01;0,00304460344040189;0,26;0,0587331706876299;NA;0,262236639301029;NA;5,89;2,11;0,18;Inf;0,05;0,0163078930202218;3,16;0;23;Inf;6,13;5,15;0,5078;1,0029;NA;NA;4,8;1,88;1,49;0,315;15,3;0,05;4,6;4,57
"RAVR005X";0,05;0,6;20,59;24;319,9;297,08;319,9;326;0,52;65,66;27,73;5,74;0,1;0,15;0,116459627329193;0,13;0,0395798447252245;2,96;0,668654558597633;NA;0,915052754786865;NA;6,73;6,07;0,18;Inf;0,05;0,0163078930202218;7,42;0;47,6;Inf;19,35;2,13;2,7655;2,9177;NA;NA;4,8;22,82;5,99;0,125;1,3;0,07;6,68;6,53
"RAVR006X";0,05;0,6;14,68;13,7;190,7;184,32;190,7;192;0,75;52,73;16,69;4,19;0,05;0,13;0,100931677018634;0,12;0,0365352412848226;4,03;0,910364145658263;NA;1,04783106396172;NA;5,25;6,43;0,18;Inf;0,05;0,0163078930202218;5,59;0;54;Inf;14,92;1,8;1,6624;1,7935;NA;NA;5;6,38;3,35;0,131;2,2;0,1;6,63;6,46
"RAVR007X";0,4;0,6;17,04;20;249,5;241,43;249,5;255;1,36;33,77;26,23;5,45;0,16;0,05;0,0388198757763975;0,01;0,00304460344040189;0,05;0,0112948405168519;NA;0,0531593197336513;NA;7,17;2,94;0,18;Inf;0,05;0,0163078930202218;9,24;0;22,9;Inf;25,41;1,97;2,1917;2,3684;NA;NA;4,6;8,07;3,23;0,177;3,9;0,27;6,04;5,87
"RAVR008X";0,37;0,6;3,72;12,95;93;93,97;93;88;1,19;2,5;5,76;1,47;0,24;0,05;0,0388198757763975;0,01;0,00304460344040189;0,12;0,0271076172404446;40,57;0,45378230936724;2,81897821410176;6,6;2,99;0,18;Inf;0,05;0,0163078930202218;2,28;0;33,1;Inf;3,95;0,56;0,8487;0,9634;3,61;0,2746;4,3;0,97;0,98;0,115;4;0,36;5,05;5,299
"TVGR200X";0,48;0,6;13,49;14,88;184,2;180,43;184,2;186,5;0,57;40,04;11,22;4,01;0,05;0,25;0,194099378881988;0,09;0,027401430963617;7,3;1,64904671546038;NA;1,88607547561654;NA;9,95;6,8;0,18;Inf;0,05;0,0163078930202218;4,87;0;62;Inf;12,63;2,03;1,629;1,7978;NA;NA;6,5;3,77;2,01;0,169;4,9;0,96;6,52;6,34
"TVGR201X";0,28;0,6;12,51;11,77;169,2;164,4;169,2;169,8;0,41;49,17;12,76;3,54;0,05;0,15;0,116459627329193;0,05;0,0152230172020094;7,09;1,6016083852896;NA;1,7332910298208;NA;7,53;9,15;0,18;Inf;0,05;0,0163078930202218;4,31;0;82,7;Inf;11,02;1,36;1,5122;1,6154;NA;NA;6,2;4,8;2,84;0,103;3,3;0,79;6,85;6,65
"TVGR202X";0,52;0,6;9,73;9,05;124,5;121,35;124,5;124,1;0,27;31,5;7,23;3,3;0,05;0,05;0,0388198757763975;0,05;0,0152230172020094;4,06;0,917141049968374;NA;0,971183942946781;NA;4,75;5,96;0,18;Inf;0,05;0,0163078930202218;3,21;0;52,5;Inf;7,9;1,38;1,0787;1,2045;NA;NA;5,9;3,15;2,3;0,126;5,5;0,75;6,26;6,08
